Name,Id,ExternalInfoId,Members
!!!,3281b095-2ae4-4dd9-9f53-4b0dd53b7b10,600744,"     = [[Nic Offer]];Mario Andreoni;Dan Gorman;Paul Quattrone;Rafael Cohen;        = John Pugh;Mikel Gius;Allan Wilson;[[Tyler Pope]];Jason Racine;[[Justin Van Der Volgen]];[[Jerry Fuchs]];Shannon Funchess"
1000 homo djs,2cd102d7-8d9e-4635-a432-7af1f385badf,635238,"    = Buck Satan ;[[Al Jourgensen]]; ; Officer Agro ; Ike Krull ; Wee Willie Reefer ;[[Bill Rieflin]]; Viva Nova ; Count Ringworm ; [[Trent Reznor]] ;uncredited"
10cc,1303a89b-fa84-420d-9ae4-eb19788bcaf5,601582," = [[Graham Gouldman]];[[Paul Burgess ;musician;Paul Burgess]];[[Rick Fenn]];Keith Hayman;Iain Hornal; = [[Eric Stewart]];[[Lol Creme]];[[Kevin Godley]];[[Stuart Tosh]];[[Tony O'Malley ;musician;Tony O'Malley]];[[Duncan Mackay ;musician;Duncan Mackay]];[[Vic Emerson]];Jamie Lane;Steve Piggot;[[Gary Wallis]];Geoff Dunn;Alan Park;Mick Wilson;[[Mike Stevens ;saxophonist;Mike Stevens]]"
14 iced bears,ed4f977b-d741-4163-9ec8-9815b15fe13d,1176436,"     = ;        = Rob Sekula;Kevin Canham;Alan White;Dominic Minques;Nick Emery;Nick Roughley;Steve Ormsby;Bill Cox;Will Taylor;Graham Durrant;Tim White;Rob Colley;Sue Freeman"
17 hippies,de36407c-fe93-4436-ab17-2287c87ac63a,2768714,"     = Antje Henkel;[[Christopher Blenkinsop]];Daniel ""Danda"" Cordes;Daniel Friedrichs;Dirk Trageser;Elmar Gutmann;Henry Notroff;Kerstin Kaernbach;Kiki Sauer;Lutz 'Lüül' Ulbrich;Rike Lau;Uwe Langer;Volker 'Kruisko' Rettmann"
187 strassenbande,39bd7782-1b0c-4534-a45e-a9f90a3c8f86,55308795," = [[Bonez MC]] ;rapper; ;[[Gzuz]] ;rapper; ; LX ;rapper; ; Maxwell ;rapper; ; Sa4 ;rapper; ; Jambeatz ;producer;    = AchtVier ;rapper; until 2013; ; Mosh36 ;rap; until 2013; ; Hasuna ;rapper; until 2015"
18th dye,c5776687-e0a4-4298-b3ff-a9c867cfb0a3,4972090,"     = Sebastian Büttrich;Heike Rädeker;Piet Breinholm-Bendtsen;        = "
2 brothers on the 4th floor,835ce305-9364-4813-881b-fc4e6bd12054,2293709," = Martin Boer;Bobby Boer;{{ill;Désirée Claudette Manders;nl;Desray}};D-Rock; = Da Smooth Baron MC;Peggy ""The Duchess"";Gale Robinson"
2 fabiola,bb4e421d-0b0c-4fed-bb7d-da19e7ba28ff,24009131,"     = Katie Michaelson;Loredana De Amicis;Patrick Claesen;Viola Furleo-Semeraro;        = Oliver Adams;Zohra"
2 in a room,c1ed82c5-de33-48a2-8653-ea3c802972d2,2180094,"     = Rafael Vargas;Roger Pauletta;        = "
2 unlimited,1c0a5c48-98f9-47d1-b046-941746f5f949,602958," = {{ubl;[[Ray Slijngaard]];Kim Vergouwen}};    = {{ubl;[[Anita Doth]];Romy van Ooijen;Marjon van Iwaarden}}"
20 fingers,240f1c06-8ae6-4aab-b0d1-11bf69cc2ae6,3812348,"        = Charlie Babie ;Carlos Rosario;Manny Mohr ;Manfred Mohr;J.J. Flores;Onofrio Lollino"
22-pistepirkko,308ec066-8250-41ff-8c65-52b5c34f14a8,1866615,"     = P-K Keränen;Espe Haverinen;Asko Keränen ;        = "
2cellos,5be0a199-efe0-47a7-99bb-45af27ac4020,32034783," = [[Luka Šulić]];[[Stjepan Hauser]];    ="
31knots,1c304d59-1c60-4410-8583-d09254e66108,686075,"     = Joe Haege;Jay Winebrenner;Jay Pellicci;        = Mark Walsh;Joe Kelly "
3rd bass,9ccf243a-3a87-47ad-8099-066f3fde0789,140860,"     = ;        = [[MC Serch]];[[Pete Nice]];[[DJ Richie Rich]]"
4 non blondes,83dc473d-ed34-412d-b3e0-1ec2a88a79b8,215631,"     =;        = [[Linda Perry]];Christa Hillhouse;[[Shaunna Hall]];Wanda Day;[[Dawn Richardson]];[[Roger Rocha]]}}"
7 shot screamers,b4b43cf0-92dd-4867-95fe-ad51dd691823,8136601,"     = Mike Leahy; Kevin O'Connor ;drummer; Dan Sabella; Chris Powers Jr.;        = Sarkes Roubanian"
a classic education,c5420c4a-7990-44d5-9b6f-bfb067258561,35942061,"     = Jonathan Clancy;Paul Pieretto;Luca Mazzieri;Federico Oppi;Giulia Mazza;        = Stefano Roveda"
a cursive memory,31154954-6f3d-489f-9c85-da73b921cdea,16646811,"        = Colin Baylen;Mark Borst-Smith;Shaun Profeta;[http://dillanwheeler.com/ Dillan Wheeler];Brian Bolen"
a flock of seagulls,ca31b8a7-df63-40e1-814c-537d4dbf1d61,170483,"  = [[Mike Score]];Pando;Kevin Rankin;[[Spoons ;band;Gord Deppe]];     = Frank Maudsley;Ali Score;Willie Woo;Mark Edmondson;[[Paul Reynolds ;musician;Paul Reynolds]];Chris Chryssaphis;Gary Steadman;Ed Berner;Dave Maerz;Kaya Pryor;Mike Radcliffe;Mike Railton;Jonte Wilkins;Mike Marquart;A.J. Mazzetti;Dean Pichette;Joe Rodriguez;Darryl Sons;Rob Wright;Robbie Hanson;Albert Cruz;Michael Brahm"
a giant dog,83ed68e3-d7a8-4aaf-859b-7dc00d8812ae,51669660," = Sabrina Ellis;Andrew Cashen;Andy Bauer;Graham Low;Daniel Blanchard; = Orville Neeley;Matthew Strmiska"
a great big world,b6691931-fcac-4bac-ab14-143d2f097b4b,39597866," = "
a hawk and a hacksaw,eb5a2245-aa69-427e-b7a1-b294f3cce6df,4657389,"     = [[Jeremy Barnes]];[[Heather Trost]]"
a perfect circle,bbefa189-6600-4e26-a561-4862544c5345,269859,"     = ;        = "
a place to bury strangers,03ed0663-ec3e-4d82-bca9-5e4ea33d1e5c,13881483,"     = [[Oliver Ackermann]];[[Dion Lunadon]];Lia Simone Braswell;        = David Goffan;Tim Gregorio;Jonathan ""Jono Mofo"" Smith;Jason ""Jay Space"" Weilmeister;Justin Avery;Robi Gonzalez;John Fedowitz"
a shoreline dream,ddd65105-f87d-455c-8078-4c0ad1922b04,23895350,"     =;        ="
a tribe called quest,f7d94f5d-b152-47fc-8c75-dddb478aae67,147462,"  = ;     = "
ac/dc,03205e8e-6b86-4663-be91-b6907cf2590b,149225,=;=
ace of base,510d0bb9-4998-46cb-b6ad-f670edd44cf3,397025,"    = "
