Name,Id,ExternalInfoId,Members
afro cuban jazz project,cdb2f632-8f7c-45ff-89ec-a354e4b959e4,15613,
agnelli & nelson,6d99afe1-70f4-42f6-8656-f3cf7076d386,9277178,
al jones & his band,28fe509a-624a-419a-b626-b0a9ae470905,14845377,
alaska in winter,a4379d1b-a4ff-4fa6-8d0b-122b3973af6a,16641024,
albert mangelsdorff quartet,7b0e9bdd-d11a-41b1-9d74-33527879a691,1924474,
alex skolnick trio,bfff823c-584d-45ca-b2de-efc6c0e67f36,1628509,
all about eve,515aba65-083a-42fe-92d8-c48f9f7725f7,41881,
all get out,eb85776a-d9eb-4776-a91b-70dceb10cc15,48526729,
all grace,f14fbf7e-c498-4ea9-91c7-08136dab244f,859066,
all saints,3a5d30ef-1347-4179-83d6-ccd069cd922f,226904,
american jazz orchestra,c0352c6c-7eb0-4c7c-969e-7ae30b9beff0,53854475,
amsterdam klezmer band,d92889bb-864a-4e9a-8dc6-37c96492c1fa,172824,
an albatross,967b8733-0128-40b9-b919-651e9db92880,5012175,
an horse,a0560d49-3513-47b1-936e-3a35a4d65095,13645,
andrew winton duo,3d134760-ff84-4ad9-ba7b-5bf1c3a62e93,12953863,
angus & julia stone,0e9bf739-5e71-49b7-b62b-989945d80b2d,1858925,
annie booth trio,e4610602-065f-4305-acf4-bc84bbff76bd,55551801,
ant & dec,9d6926e8-6f7b-44e2-bf23-05ebd9266c47,2594,
arms and legs,4b44b7ec-79c1-436d-9700-047f1f65c3f1,19166409,
arrows to fire,afef602e-b103-4a14-8b73-c570431d5d58,51513,
art blakey & the jazz messengers,1d0f163d-7c37-4353-a90c-c4e00695c518,243651,
art farmer quartet,dd6fd7d4-7fb8-4f03-aee6-e080a45af07f,310414,
"arthur ""big boy"" crudup",d0b0a115-ca6a-4c20-9c5b-1bd31ca2ddab,401153,
auf der maur,0862f452-e428-4874-9758-2e0f4ee271d9,821493,
awon & phoniks,3955449c-bfa8-4bc3-bd4b-1f9f91bf2371,47714595,
azul y negro,cdb271af-051d-452b-8000-3e0b9ebdada3,16761029,
b. bumble & the stingers,822bdf66-846f-4c55-80f5-699c927c97fa,6433830,
baby's gang,f1eb1cfc-9cfc-412d-a08d-725cbdff87fa,29668369,
band,fe6b95d9-05ef-4481-bdae-2934896d0c23,4499,
band of gold,d368e15b-a22d-4317-9af3-f17bad70c2e3,2439958,
banda black rio,31b5dcec-0e24-4ae4-b527-bc6eed92daf9,9466530,
